player_id,episode,episode_return
p1,1,-18
p1,2,-16
p1,3,-14
p1,4,-15
p1,5,-17
p1,6,-13
p1,7,-16
p1,8,-15
p1,9,-14
p1,10,-16
p1,11,-15
p1,12,-13
p1,13,-17
p1,14,-14
p1,15,-15
p2,1,-19
p2,2,-20
p2,3,-18
p2,4,-21
p2,5,-17
p2,6,-19
p2,7,-20
p2,8,-18
p2,9,-19
p2,10,-21
p2,11,-17
p2,12,-20
p2,13,-18
p2,14,-19
p2,15,-18
p3,1,-15
p3,2,-14
p3,3,-12
p3,4,-11
p3,5,-13
p3,6,-10
p3,7,-11
p3,8,-9
p3,9,-12
p3,10,-11
p3,11,-10
p3,12,-8
p3,13,-11
p3,14,-12
p3,15,-10
p4,1,-19
p4,2,-17
p4,3,-16
p4,4,-18
p4,5,-15
p4,6,-17
p4,7,-16
p4,8,-15
p4,9,-16
p4,10,-18
p4,11,-15
p4,12,-17
p4,13,-16
p4,14,-15
p4,15,-16
p5,1,-21
p5,2,-20
p5,3,-19
p5,4,-21
p5,5,-18
p5,6,-20
p5,7,-19
p5,8,-21
p5,9,-18
p5,10,-20
p5,11,-19
p5,12,-18
p5,13,-21
p5,14,-19
p5,15,-20
p6,1,-16
p6,2,-15
p6,3,-14
p6,4,-13
p6,5,-12
p6,6,-14
p6,7,-13
p6,8,-11
p6,9,-12
p6,10,-14
p6,11,-11
p6,12,-13
p6,13,-12
p6,14,-14
p6,15,-11
